name,uid,code,shortName,description,formName,domainType,valueType,aggregationType,categoryCombinationUid,url,zeroIsSignificant,optionSetValue
New_ Sensitized/Provided with TB education >familly member of exminers,,, Sensitized/Provided with TB education >FMeX,, Sensitized/Provided with TB education >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Total number of clients seen  >familly member of exminers,,,Total No of clients seen  >FMeX,,Total number of clients seen  >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number of clients screened for TB >familly member of exminers,,,No of clients screened for TB >FMeX,,Number of clients screened for TB >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Presumptive TB (National screening tool)  >familly member of exminers,,,Presumptive TB (National screening tool)  >FMeX,,Presumptive TB (National screening tool)  >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number tested with GeneXpert >familly member of exminers,,,No tested with GeneXpert >FMeX,,Number tested with GeneXpert >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_GeneXpert positive TB >familly member of exminers,,,GeneXpert positive TB >FMeX,,GeneXpert positive TB >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number examined with X-rays done >familly member of exminers,,,No examined with X-rays done >FMeX,,Number examined with X-rays done >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_No of X-rays suggestive of current TB >familly member of exminers,,,No of X-rays suggestive of current TB >FMeX,,No of X-rays suggestive of current TB >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_No of X-rays suggestive of old TB  >familly member of exminers,,,No of X-rays suggestive of old TB  >FMeX,,No of X-rays suggestive of old TB  >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_TB cases diagnosed (bacteriological and clinical)  >familly member of exminers,,,TB cases diagnosed   >FMeX,,TB cases diagnosed (bacteriological and clinical)  >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number of TB cases initiated on treatment >familly member of exminers,,,No of TB cases initiated on treatment >FMeX,,Number of TB cases initiated on treatment >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Drug resistant TB cases (RR-TB or MDR TB) notified >familly member of exminers,,,Drug resistant TB cases  notified >FMeX,,Drug resistant TB cases (RR-TB or MDR TB) notified >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_New TB cases with known HIV status >familly member of exminers,,,New TB cases with known HIV status >FMeX,,New TB cases with known HIV status >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number of clients already on ART >familly member of exminers,,,No of clients already on ART >FMeX,,Number of clients already on ART >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number of HIV-Postive TB patients on ART  >familly member of exminers,,,No of HIV-Postive TB patients on ART  >FMeX,,Number of HIV-Postive TB patients on ART  >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Total number of clients tested for HIV  >familly member of exminers,,,Total No of clients tested for HIV  >FMeX,,Total number of clients tested for HIV  >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number who tested as HIV positive  >familly member of exminers,,,No who tested as HIV positive  >FMeX,,Number who tested as HIV positive  >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number of new HIV postives linked to HIV care  >familly member of exminers,,,No of new HIV postives linked to HIV care  >FMeX,,Number of new HIV postives linked to HIV care  >familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Estimated Number target population in Area >community member,,,Estimated No target population in Area >CM,,Estimated Number target population in Area >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Sensitized/Provided with TB education >community member,,,Sensitized/Provided with TB education >CM,,Sensitized/Provided with TB education >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Total number of clients seen  >community member,,,Total No of clients seen  >CM,,Total number of clients seen  >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number of clients screened for TB  >community member,,,No of clients screened for TB  >CM,,Number of clients screened for TB  >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Presumptive TB (National screening tool)  >community member,,,Presumptive TB (National screening tool)  >CM,,Presumptive TB (National screening tool)  >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number tested with GeneXpert >community member,,,No tested with GeneXpert >CM,,Number tested with GeneXpert >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_GeneXpert positive TB >community member,,,GeneXpert positive TB >CM,,GeneXpert positive TB >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number examined with X-rays done  >community member,,,No examined with X-rays done  >CM,,Number examined with X-rays done  >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_No of X-rays suggestive of current TB >community member,,,No of X-rays suggestive of current TB >CM,,No of X-rays suggestive of current TB >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_No of X-rays suggestive of old TB >community member,,,No of X-rays suggestive of old TB >CM,,No of X-rays suggestive of old TB >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_TB cases diagnosed (bacteriological and clinical) >community member,,,TB cases diagnosed  >CM,,TB cases diagnosed (bacteriological and clinical) >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number of TB cases initiated on treatment  >community member,,,No of TB cases initiated on treatment  >CM,,Number of TB cases initiated on treatment  >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Drug resistant TB cases (RR-TB or MDR TB) notified >community member,,,Drug resistant TB cases  notified >CM,,Drug resistant TB cases (RR-TB or MDR TB) notified >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_New TB cases with known HIV status  >community member,,,New TB cases with known HIV status  >CM,,New TB cases with known HIV status  >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ Number of clients already on ART >community member,,, No of clients already on ART >CM,, Number of clients already on ART >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number of HIV-Postive TB patients on ART  >community member,,,No of HIV-Postive TB patients on ART  >CM,,Number of HIV-Postive TB patients on ART  >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Total number of clients tested for HIV >community member,,,Total No of clients tested for HIV >CM,,Total number of clients tested for HIV >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number who tested as HIV positive >community member,,,No who tested as HIV positive >CM,,Number who tested as HIV positive >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number of new HIV postives linked to HIV care >community member,,,No of new HIV postives linked to HIV care >CM,,Number of new HIV postives linked to HIV care >community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
